,GEOID,total_population,white_population,non_white_percent
1307,360610140005,1450,1246,14.07
3562,360610128003,1144,983,14.07
552,360850177022,1114,957,14.09
3781,360470394003,879,755,14.11
30,360470171002,742,637,14.15
85,360810779023,1385,1189,14.15
6566,360470591004,897,770,14.16
1203,360610130004,812,697,14.16
3042,360810892013,1056,906,14.20
6210,360470232002,1644,1410,14.23
712,360470700002,974,835,14.27
112,360470222001,2043,1751,14.29
695,360470628001,1328,1138,14.31
5156,360610175001,1917,1642,14.35
1346,360610165001,1332,1140,14.41
2804,360850208032,2154,1843,14.44
4198,360610148024,1419,1214,14.45
2521,360850197001,934,799,14.45
1185,360610118002,1439,1231,14.45
1342,360610160013,761,651,14.45
2154,360850132033,2045,1749,14.47
1188,360610120001,848,725,14.50
2506,360850176003,1357,1160,14.52
3560,360610128001,2064,1764,14.53
1326,360610152006,1079,922,14.55
3735,360470050001,711,607,14.63
2985,360610106015,1620,1383,14.63
520,360850121002,976,833,14.65
4455,360470440002,937,799,14.73
4116,360470418002,1317,1123,14.73
876,360610059005,1043,889,14.77
122,360470238002,2189,1865,14.80
2171,360850146044,1168,995,14.81
3745,360470053021,27,23,14.81
5659,360470535001,1450,1235,14.83
3106,360850279001,1106,942,14.83
2169,360850146041,1542,1313,14.85
3875,360610140004,713,607,14.87
2808,360850208043,1190,1013,14.87
721,360470744002,1152,980,14.93
6218,360470234002,1977,1681,14.97
162,360810892017,731,621,15.05
2172,360850146052,1933,1642,15.05
6250,360470571004,909,772,15.07
2317,360470750001,1490,1265,15.10
6254,360470573002,980,832,15.10
540,360850156011,1287,1092,15.15
3270,360610118001,1384,1174,15.17
161,360810892014,1208,1024,15.23
4111,360470416001,1200,1017,15.25
3044,360810892016,826,700,15.25
3553,360610126023,1295,1097,15.29
3427,360470007002,921,780,15.31
877,360610063005,842,713,15.32
6404,360810657033,809,685,15.33
2175,360850146064,1161,983,15.33
5931,360470548001,1180,999,15.34
2783,360810884003,1006,851,15.41
3209,360470360022,2154,1822,15.41
571,360470544001,1271,1075,15.42
4052,360470065003,752,636,15.43
547,360850170151,2713,2294,15.44
2685,360610093003,984,832,15.45
4534,360610157001,1099,929,15.47
2174,360850146063,1291,1091,15.49
4053,360470065004,668,564,15.57
2185,360850156012,1046,883,15.58
6247,360470571001,1154,974,15.60
624,360850226012,1622,1369,15.60
1991,360610063004,871,735,15.61
4785,360470470002,1266,1068,15.64
4197,360610148023,1636,1380,15.65
6405,360810659002,925,780,15.68
3547,360610126012,1250,1054,15.68
4535,360610157002,1743,1469,15.72
3876,360610140006,1201,1012,15.74
1559,360470003014,755,636,15.76
4766,360470448002,1433,1207,15.77
2809,360850208052,2756,2321,15.78
2178,360850147001,613,516,15.82
2502,360850170162,2152,1809,15.94
1337,360610158013,1549,1302,15.95
4772,360470452002,1340,1126,15.97
4203,360610150012,1193,1002,16.01
4843,360610160014,996,836,16.06
160,360810892011,753,632,16.07
4202,360610149005,1610,1351,16.09
283,360470336004,565,474,16.11
550,360850176004,1123,942,16.12
1989,360610063002,1382,1159,16.14
2325,360610073003,1337,1121,16.16
896,360610075003,742,622,16.17
5916,360470542001,1898,1591,16.17
2173,360850146061,1741,1459,16.20
1331,360610155024,1127,944,16.24
6588,360470608001,978,819,16.26
2982,360610106011,1309,1096,16.27
2505,360850176002,943,789,16.33
2347,360610080002,716,599,16.34
4509,360610153011,1211,1013,16.35
51,360810665012,978,818,16.36
6248,360470571002,1001,837,16.38
2345,360610079003,1153,964,16.39
572,360470545001,573,479,16.40
2326,360610073004,1422,1188,16.46
5947,360470556002,1365,1140,16.48
1687,360470065002,740,618,16.49
2333,360610075002,1575,1315,16.51
3086,360850248003,1659,1385,16.52
1806,360810659001,925,772,16.54
3551,360610126021,2399,2002,16.55
4756,360470444002,1127,940,16.59
2792,360810892012,1181,985,16.60
3282,360610122001,849,708,16.61
1816,360470003012,847,706,16.65
534,360850146062,2095,1746,16.66
1558,360470003011,887,739,16.69
3859,360610136044,1395,1162,16.70
2338,360610077005,974,811,16.74
4859,360610163002,1457,1213,16.75
2337,360610077004,1224,1019,16.75
6625,360610057001,918,764,16.78
4107,360470414012,697,580,16.79
2819,360850226013,1239,1031,16.79
4827,360471237003,2978,2478,16.79
2346,360610079004,999,831,16.82
5140,360610171006,1361,1132,16.83
2994,360610110001,1558,1295,16.88
1045,360610093004,1167,970,16.88
6630,360610059004,798,663,16.92
4849,360610161004,1021,848,16.94
2803,360850208031,2465,2047,16.96
3741,360470052021,1126,935,16.96
2336,360610077002,1167,969,16.97
2660,360610086033,871,723,16.99
3775,360470390001,1299,1078,17.01
1435,360610167003,1817,1507,17.06
2192,360850156031,1158,960,17.10
4177,360610144024,951,788,17.14
2155,360850132041,1323,1096,17.16
868,360610050005,1236,1023,17.23
6790,360850122001,1085,898,17.24
2007,360610067003,944,781,17.27
6211,360470232003,1181,977,17.27
