,GEOID,total_population,white_population,non_white_percent
591,360470575002,1068,692,35.21
5333,360470163004,764,495,35.21
3345,360810942034,951,616,35.23
1047,360610095001,1856,1202,35.24
229,360810987001,1416,917,35.24
5934,360470549002,2497,1617,35.24
6462,360850070022,3138,2031,35.28
2667,360610088004,986,638,35.29
1967,360470658002,966,625,35.30
5074,360470149022,960,621,35.31
5690,360610015021,1614,1044,35.32
1657,360810521001,812,525,35.34
585,360470563014,1341,867,35.35
6779,360850112013,2090,1351,35.36
1182,360610110006,1523,984,35.39
6685,360810119002,989,638,35.49
5184,360810517002,1118,721,35.51
3280,360610121022,1289,831,35.53
765,360610034002,1576,1016,35.53
3092,360850273013,2678,1726,35.55
6771,360850097013,1183,762,35.59
6635,360610061001,2377,1531,35.59
3737,360470051001,719,463,35.61
1572,360470034003,1123,723,35.62
5711,360610191004,1580,1017,35.63
1962,360470652001,1197,770,35.67
2485,360850169012,1876,1206,35.71
6234,360470564001,1094,703,35.74
1576,360470039003,674,433,35.76
6475,360850096022,1261,810,35.77
1077,360810111001,1546,993,35.77
2683,360610092003,847,544,35.77
2851,360050288003,693,445,35.79
5118,360470495001,1073,689,35.79
4956,360811467002,609,391,35.80
870,360610055011,1682,1079,35.85
5941,360470552002,1311,841,35.85
5147,360610173002,780,500,35.90
6056,360810063002,2167,1389,35.90
2680,360610091004,1771,1135,35.91
4835,360610158023,1417,908,35.92
5026,360050449022,1110,711,35.95
5079,360470152001,673,431,35.96
578,360470555001,8688,5561,35.99
892,360610071001,961,615,36.00
6220,360470235001,3091,1978,36.01
6262,360470579011,472,302,36.02
516,360850112031,2151,1376,36.03
862,360610045001,1093,699,36.05
83,360810773003,613,392,36.05
611,360850187012,973,622,36.07
5739,360610199006,1415,904,36.11
5927,360470546003,1686,1077,36.12
6046,360810061003,1685,1076,36.14
5800,360810587001,1441,920,36.16
6713,360810141001,622,397,36.17
6093,360810623002,1006,642,36.18
875,360610059003,2114,1349,36.19
4774,360470454001,978,624,36.20
4199,360610149001,1257,802,36.20
2964,360610098002,989,631,36.20
5086,360470480002,2080,1327,36.20
2027,360610072003,1425,909,36.21
1071,360810103002,988,630,36.23
2366,360610273003,2329,1485,36.24
353,360470374015,1476,940,36.31
762,360610032005,680,433,36.32
5827,360810613013,1456,927,36.33
6690,360810123011,1468,934,36.38
1750,360610273002,1160,738,36.38
2507,360850177011,1091,694,36.39
5673,360610010011,1767,1124,36.39
601,360470592001,1272,809,36.40
5652,360470532002,1227,780,36.43
723,360470750002,1438,914,36.44
6520,360470241001,1948,1238,36.45
6306,360610044001,2982,1895,36.45
5819,360810603001,1854,1178,36.46
4452,360470438002,1758,1117,36.46
6422,360810671002,1091,693,36.48
5919,360470544002,1487,944,36.52
6775,360850105003,931,591,36.52
5058,360470142002,958,608,36.53
2904,360470333003,1431,908,36.55
6602,360610044006,1551,984,36.56
1566,360470022004,722,458,36.57
613,360850189012,1717,1089,36.58
731,360470768003,1750,1109,36.63
3281,360610121023,900,570,36.67
1330,360610155021,1725,1092,36.70
519,360850114022,1274,806,36.73
3288,360610124005,873,552,36.77
2963,360610098001,848,536,36.79
5164,360610177007,1046,661,36.81
634,360850277041,1882,1189,36.82
12,360470149023,1162,734,36.83
2677,360610090007,1273,804,36.84
103,360470207003,1271,802,36.90
3491,360470374011,704,444,36.93
1793,360810625001,1126,710,36.94
2965,360610098003,1104,696,36.96
5433,360610181004,1212,764,36.96
6113,360810639001,2045,1289,36.97
2871,360050301002,733,462,36.97
5332,360470163003,1417,893,36.98
2089,360810159004,1259,793,37.01
4073,360470071001,1088,685,37.04
859,360610040024,1382,870,37.05
1024,360610078007,1633,1028,37.05
5692,360610015023,2091,1316,37.06
1273,360050288002,839,528,37.07
639,360850291041,1634,1027,37.15
5680,360610013002,1610,1011,37.20
596,360470582003,1362,855,37.22
6041,360810059001,1853,1163,37.24
5591,360470183002,874,548,37.30
2857,360050293021,855,536,37.31
5724,360610195001,1474,924,37.31
2707,360610317042,1888,1183,37.34
5462,360610189001,1604,1005,37.34
3666,360811017004,1221,765,37.35
3872,360610139007,1408,882,37.36
3144,360050323004,1974,1236,37.39
5451,360610185001,1578,988,37.39
3458,360470034001,933,584,37.41
6795,360850128041,2430,1521,37.41
6388,360810115001,1790,1120,37.43
5634,360470525002,1212,758,37.46
100,360470204002,1006,629,37.48
5683,360610014012,1691,1057,37.49
1096,360810147003,1040,650,37.50
5087,360470481001,712,445,37.50
6213,360470232005,1178,736,37.52
5885,360470205002,1372,857,37.54
6781,360850112032,2170,1355,37.56
6098,360810627001,1530,955,37.58
5457,360610187003,891,556,37.60
3100,360850277024,1627,1015,37.62
5816,360810599001,704,439,37.64
342,360470364002,1242,774,37.68
3459,360470034002,1433,893,37.68
1,360470133001,1019,635,37.68
5360,360470500021,1607,1001,37.71
5432,360610181003,1779,1108,37.72
4739,360470129012,912,568,37.72
4768,360470449012,697,434,37.73
1588,360470058001,1052,655,37.74
1095,360810147001,996,620,37.75
461,360850050001,2038,1268,37.78
3453,360470030001,889,553,37.80
894,360610074003,1341,834,37.81
4,360470135003,1272,791,37.81
2557,360050274011,724,450,37.85
1041,360610091002,903,561,37.87
6408,360810663011,1481,920,37.88
5962,360610021004,1605,997,37.88
5871,360470197001,417,259,37.89
3634,360810997033,1301,808,37.89
1277,360050293023,1694,1052,37.90
1725,360470131004,1141,708,37.95
2698,360610307003,1665,1033,37.96
5057,360470141022,972,603,37.96
734,360610007007,1121,695,38.00
5797,360810583003,770,477,38.05
1593,360610199002,1495,926,38.06
3104,360850277061,1113,689,38.10
6372,360810103003,1215,752,38.11
3131,360050309001,1261,780,38.14
930,360810063003,1590,983,38.18
4115,360470418001,1328,821,38.18
3730,360470047001,1951,1206,38.19
2852,360050288004,678,419,38.20
6609,360610048005,1180,729,38.22
6453,360850050003,928,573,38.25
5420,360610007003,656,405,38.26
5216,360811507012,1121,692,38.27
937,360810075003,896,553,38.28
2074,360810153002,1003,619,38.29
1861,360811551031,1136,701,38.29
3743,360470053011,1355,836,38.30
5084,360470478002,1723,1063,38.31
570,360470542002,1717,1059,38.32
2697,360610307002,1028,634,38.33
5424,360610179001,1434,884,38.35
3558,360610127004,1658,1022,38.36
6308,360610044003,1636,1008,38.39
6617,360610052002,2813,1733,38.39
5063,360470145001,1238,762,38.45
4503,360610151024,13,8,38.46
6057,360810063004,1037,638,38.48
3159,360050335001,509,313,38.51
890,360610070013,1053,647,38.56
5068,360470147002,1527,938,38.57
635,360850277052,1536,943,38.61
2281,360470696023,2862,1757,38.61
3716,360470041001,1453,892,38.61
3333,360810297001,909,558,38.61
4860,360610163003,1007,618,38.63
5801,360810587003,1151,706,38.66
65,360810713033,1818,1114,38.72
1338,360610158022,958,587,38.73
1786,360810601001,1368,838,38.74
5989,360610030021,1897,1162,38.75
1221,360610139003,1342,822,38.75
4046,360470062001,1169,716,38.75
1098,360810151001,1192,730,38.76
2015,360610070011,833,510,38.78
3581,360610133003,1734,1061,38.81
5059,360470142003,1225,749,38.86
3599,360810317004,1752,1071,38.87
5914,360470538003,1831,1119,38.89
5808,360810593001,1391,850,38.89
3926,360811033003,928,567,38.90
6571,360470594023,1372,838,38.92
5828,360810613014,1801,1100,38.92
5346,360470168001,1695,1035,38.94
5190,360810525001,1420,867,38.94
6765,360810723001,380,232,38.95
5997,360610205001,2451,1494,39.05
15,360470152002,840,512,39.05
1654,360810515002,1452,885,39.05
3744,360470053012,809,493,39.06
1590,360470060002,924,563,39.07
4181,360610145001,3667,2234,39.08
2675,360610090004,1462,890,39.12
5671,360610009001,2016,1227,39.14
3290,360610124008,618,376,39.16
485,360470500012,1163,707,39.21
5447,360610183007,1144,695,39.25
6580,360470598002,1470,893,39.25
3110,360850291022,2450,1488,39.27
2987,360610106023,1574,955,39.33
5095,360470484002,1782,1081,39.34
3668,360811017007,1126,683,39.34
2341,360610078005,681,413,39.35
2364,360610271005,1445,876,39.38
5056,360470141021,886,537,39.39
5986,360610030012,1330,806,39.40
11,360470142001,1251,758,39.41
1446,360610177001,1192,722,39.43
3380,360050337002,986,597,39.45
6373,360810103004,846,512,39.48
4744,360470131002,967,585,39.50
4725,360470121001,1121,678,39.52
935,360810071004,1346,814,39.52
1785,360810599002,890,538,39.55
6106,360810635002,1766,1067,39.58
5046,360470136002,1028,621,39.59
4122,360470422001,1030,622,39.61
5088,360470481003,1615,975,39.63
5691,360610015022,3017,1821,39.64
2002,360610066005,1341,809,39.67
743,360610013003,1081,652,39.69
3731,360470049001,829,500,39.69
936,360810073003,1577,951,39.70
4532,360610156013,861,519,39.72
577,360470554001,2054,1238,39.73
39,360470183001,1208,728,39.74
605,360470594033,1477,890,39.74
6136,360850020011,1247,750,39.86
3142,360050323001,881,529,39.95
4621,360811333003,1036,622,39.96
4742,360470130003,1241,745,39.97
2513,360850187011,863,518,39.98
2184,360850154001,5,3,40.00
5793,360810581001,1065,639,40.00
6465,360850074003,5,3,40.00
5368,360470504012,1892,1135,40.01
5311,360050516011,1052,631,40.02
5052,360470139002,1179,707,40.03
5884,360470205001,901,540,40.07
1332,360610156012,801,480,40.07
5888,360470207002,1602,960,40.07
4845,360610160022,1888,1131,40.10
3101,360850277042,2730,1635,40.11
281,360470335002,1032,618,40.12
1721,360470129013,628,376,40.13
5067,360470147001,715,428,40.14
1052,360610103001,3268,1956,40.15
2973,360610099021,3808,2279,40.15
5881,360470202002,1046,626,40.15
6376,360810105003,1696,1015,40.15
6067,360810073002,1651,988,40.16
4719,360470117001,1073,642,40.17
1586,360470054003,1261,754,40.21
3105,360850277063,910,544,40.22
7,360470138001,1541,921,40.23
2692,360610097001,2340,1398,40.26
6100,360810629003,846,505,40.31
5649,360470530003,1428,852,40.34
5446,360610183006,927,553,40.35
2118,360810737002,1358,810,40.35
2119,360810739001,1028,613,40.37
6723,360810149001,1387,827,40.37
5924,360470545006,1443,860,40.40
3460,360470035001,1432,853,40.43
744,360610014011,1852,1103,40.44
2708,360610317044,1525,908,40.46
6300,360610042002,2006,1194,40.48
1589,360470059001,862,513,40.49
4780,360470462011,1536,914,40.49
6720,360810145002,1390,827,40.50
6058,360810065011,1397,831,40.52
5327,360470161001,1152,685,40.54
1970,360470662001,1497,890,40.55
1723,360470130002,1414,840,40.59
6450,360850047001,2257,1340,40.63
2906,360470335003,950,564,40.63
4525,360610154033,1535,911,40.65
448,360850006002,1712,1016,40.65
1280,360050297002,1446,858,40.66
5475,360810007023,1677,995,40.67
5094,360470484001,2542,1508,40.68
486,360470501002,934,553,40.79
102,360470206002,1188,703,40.82
5736,360610199001,1696,1003,40.86
636,360850277062,1020,603,40.88
5633,360470525001,2508,1482,40.91
3557,360610127003,1827,1079,40.94
4608,360811291032,1448,855,40.95
228,360810981001,1218,719,40.97
3370,360810981002,1135,670,40.97
3862,360610137006,693,409,40.98
700,360470644002,61,36,40.98
1821,360470152003,1032,609,40.99
5061,360470143002,1336,788,41.02
4432,360470428003,1543,910,41.02
6047,360810061004,1293,762,41.07
4057,360470066001,1296,763,41.13
37,360470181002,846,498,41.13
1101,360810155002,824,485,41.14
2066,360610267001,2083,1226,41.14
5042,360470134002,1307,769,41.16
5592,360470183003,702,413,41.17
2127,360810741004,833,490,41.18
3719,360470043002,1219,717,41.18
2674,360610090002,1942,1142,41.19
2516,360850187042,1770,1040,41.24
5162,360610177003,1065,625,41.31
6763,360810721002,894,524,41.39
3790,360470400001,1234,723,41.41
5111,360470492003,1031,604,41.42
5163,360610177005,1241,727,41.42
923,360810053001,1393,816,41.42
4524,360610154032,1021,598,41.43
6066,360810073001,1242,727,41.47
1573,360470036001,1208,707,41.47
1782,360810595011,1046,612,41.49
5589,360470181004,1099,643,41.49
3372,360810987002,1127,659,41.53
132,360810779071,1738,1016,41.54
931,360810065012,1432,837,41.55
3861,360610137005,1022,597,41.59
5903,360470214002,1291,754,41.60
480,360470495002,1072,626,41.60
507,360470530002,962,561,41.68
5119,360470495003,969,565,41.69
574,360470551003,1260,734,41.75
5372,360470505002,1523,887,41.76
1792,360810623001,917,534,41.77
5045,360470136001,1065,620,41.78
4604,360811291021,1029,599,41.79
1796,360810629002,1153,671,41.80
3957,360811133001,636,370,41.82
4059,360470066003,1685,980,41.84
5393,360470513003,2266,1317,41.88
6714,360810141002,1023,594,41.94
1438,360610169004,1607,933,41.94
3265,360610116001,1084,629,41.97
5165,360610177008,1380,800,42.03
391,360811507013,659,382,42.03
4049,360470064001,1181,684,42.08
2086,360810159001,1050,608,42.10
1291,360050323005,114,66,42.11
468,360850074002,2593,1501,42.11
5464,360810001021,3349,1938,42.13
76,360810743002,949,549,42.15
2224,360050250001,1605,928,42.18
1370,360810295001,1751,1012,42.20
4531,360610156011,1142,660,42.21
1295,360050330003,1667,963,42.23
3,360470134003,1399,808,42.24
97,360470201001,802,463,42.27
6589,360470608002,1642,947,42.33
5998,360610205002,1701,981,42.33
2133,360810749001,763,440,42.33
2139,360810769012,2169,1250,42.37
6524,360470244001,948,546,42.41
3167,360470001004,1520,875,42.43
1022,360610078001,1421,818,42.43
5098,360470485002,1522,876,42.44
2559,360050274014,1615,929,42.48
5195,360810531002,838,482,42.48
2142,360810775001,807,464,42.50
1717,360470117002,818,470,42.54
466,360850070021,1861,1068,42.61
6293,360610040023,1515,869,42.64
2274,360470296001,1451,832,42.66
3381,360050337003,2296,1316,42.68
5350,360470169004,991,568,42.68
3944,360811093003,993,569,42.70
5465,360810001022,4135,2368,42.73
5587,360470181001,1046,599,42.73
388,360811479002,1480,847,42.77
3935,360811059004,1129,646,42.78
6263,360470579012,944,540,42.80
6802,360850128063,1981,1133,42.81
2288,360470702021,21,12,42.86
1776,360810585002,1262,721,42.87
5826,360810613012,1236,706,42.88
2112,360810181021,1133,647,42.89
6695,360810125001,899,513,42.94
6696,360810125002,836,477,42.94
4832,360471522003,957,546,42.95
93,360470197002,924,527,42.97
2137,360810757022,1624,926,42.98
3102,360850277051,2602,1483,43.01
3438,360470018012,2562,1460,43.01
6443,360850039001,702,400,43.02
2665,360610088001,1487,847,43.04
5459,360610187006,1252,713,43.05
5895,360470211003,399,227,43.11
5326,360470160004,944,537,43.11
1448,360610177006,955,543,43.14
299,360811129002,563,320,43.16
5974,360610026023,1522,865,43.17
2870,360050301001,894,508,43.18
6060,360810065021,1649,937,43.18
6660,360610238032,1660,943,43.19
5573,360050160003,861,489,43.21
1026,360610080001,1335,758,43.22
6560,360470588001,1825,1036,43.23
2413,360810185021,751,426,43.28
46,360610317043,3884,2203,43.28
3933,360811059001,1018,577,43.32
4723,360470119012,1237,701,43.33
2120,360810739002,810,459,43.33
2143,360810775002,742,420,43.40
4431,360470428002,1366,773,43.41
2511,360850181001,836,473,43.42
2122,360810739004,1195,676,43.43
454,360850018001,495,280,43.43
512,360470534003,1065,602,43.47
753,360610022021,2488,1406,43.49
1848,360610137003,1782,1006,43.55
9,360470139004,760,429,43.55
2859,360050293024,1630,920,43.56
5194,360810531001,1850,1044,43.57
5187,360810521002,1385,780,43.68
3555,360610127001,1183,666,43.70
4594,360811247001,1091,614,43.72
1328,360610154031,1772,997,43.74
2129,360810743003,1573,885,43.74
333,360811367002,615,346,43.74
3869,360610139002,1342,755,43.74
5075,360470150001,882,496,43.76
5348,360470169002,1144,643,43.79
3103,360850277053,1728,971,43.81
2131,360810745002,1495,840,43.81
5328,360470161003,1191,669,43.83
6062,360810069001,1632,916,43.87
4776,360470456002,1483,832,43.90
2136,360810757021,1637,918,43.92
5928,360470547001,1234,692,43.92
2844,360050285001,1566,878,43.93
5472,360810007011,1534,860,43.94
392,360811507023,860,482,43.95
1278,360050295002,1092,612,43.96
1043,360610092001,928,520,43.97
4138,360471058042,757,424,43.99
5443,360610183003,1142,639,44.05
5175,360810511001,1285,719,44.05
805,360050160004,656,367,44.05
2355,360610082002,1380,772,44.06
2071,360810151002,1483,829,44.10
5528,360810577001,1053,588,44.16
6463,360850070023,1216,679,44.16
422,360470434002,1114,622,44.17
3494,360470374021,1659,926,44.18
6099,360810629001,1043,582,44.20
2121,360810739003,1401,781,44.25
4072,360470070002,1127,628,44.28
5611,360470193002,1050,585,44.29
2099,360810169004,1045,582,44.31
5208,360810539021,88,49,44.32
5656,360470534001,1447,805,44.37
79,360810749002,800,445,44.38
5727,360610195004,1340,745,44.40
2076,360810155001,1520,845,44.41
2126,360810741003,666,370,44.44
1689,360470070001,1327,737,44.46
732,360610007001,470,261,44.47
1068,360810091002,1506,836,44.49
3664,360811017001,955,530,44.50
5779,360810053002,1397,775,44.52
5431,360610181001,1536,852,44.53
6090,360810621002,970,538,44.54
3637,360810997045,2073,1149,44.57
101,360470205003,1132,627,44.61
4456,360470440003,1059,586,44.66
3635,360810997042,1645,910,44.68
5616,360470195001,821,454,44.70
243,360811017002,841,465,44.71
22,360470160001,1333,737,44.71
6043,360810059003,988,546,44.74
1455,360610181002,1229,679,44.75
2666,360610088002,2049,1132,44.75
6045,360810061002,2002,1106,44.76
5787,360810579001,1126,622,44.76
248,360811033001,1597,882,44.77
4726,360470121002,795,439,44.78
5987,360610030013,1105,610,44.80
2976,360610100001,799,441,44.81
1235,360810185011,857,473,44.81
5908,360470215004,2256,1245,44.81
1366,360810285002,1220,673,44.84
6048,360810062011,2416,1332,44.87
1858,360811033002,1138,627,44.90
1290,360050323002,1367,753,44.92
1056,360610106022,1059,583,44.95
2863,360050296002,1202,661,45.01
4715,360470114001,1644,904,45.01
6230,360470563012,1039,571,45.04
6746,360810713031,2102,1155,45.05
2688,360610094001,91,50,45.05
1714,360470112003,1411,775,45.07
2123,360810739005,1114,611,45.15
5796,360810583001,1446,793,45.16
5224,360811529024,1811,993,45.17
6568,360470592003,1264,693,45.17
73,360810721003,1202,659,45.17
6747,360810713032,1387,760,45.21
1947,360470626002,2189,1199,45.23
84,360810775003,692,379,45.23
932,360810065022,747,409,45.25
5878,360470201002,1096,600,45.26
6054,360810062026,1241,679,45.29
6549,360470257001,1649,902,45.30
6089,360810621001,1024,560,45.31
3943,360811093002,1163,636,45.31
6042,360810059002,1390,760,45.32
4182,360610145002,1158,633,45.34
4611,360811291042,952,520,45.38
2905,360470335001,1249,681,45.48
297,360811113002,751,409,45.54
5434,360610181006,1667,907,45.59
2860,360050295001,1761,958,45.60
6055,360810063001,1083,589,45.61
5905,360470215001,870,473,45.63
804,360050160001,1586,862,45.65
3582,360610133004,1437,781,45.65
6567,360470592002,1732,941,45.67
4720,360470117003,781,424,45.71
3177,360470342004,1161,630,45.74
5811,360810595012,1045,567,45.74
6065,360810071003,1340,727,45.75
64,360810711004,1176,638,45.75
98,360470201004,977,530,45.75
6044,360810061001,1311,711,45.77
94,360470197004,965,523,45.80
1775,360810583002,1146,621,45.81
6107,360810637001,48,26,45.83
2138,360810769011,2105,1140,45.84
3715,360470039002,772,418,45.85
3556,360610127002,1722,932,45.88
3842,360610135013,1468,794,45.91
99,360470203001,1219,659,45.94
5521,360810567001,740,400,45.95
6001,360610207012,1421,768,45.95
3945,360811097001,581,314,45.96
2246,360470284001,1271,686,46.03
4765,360470448001,532,287,46.05
5161,360610177002,1142,616,46.06
253,360811059003,788,425,46.07
10,360470141011,1621,874,46.08
5799,360810585003,1662,896,46.09
4778,360470460001,1319,711,46.10
2342,360610078006,1982,1068,46.12
5427,360610179006,1511,814,46.13
67,360810713052,1370,738,46.13
2335,360610076002,693,373,46.18
6623,360610056001,2109,1135,46.18
5603,360470191001,1468,790,46.19
245,360811029001,2542,1366,46.26
2652,360610086011,3079,1654,46.28
2149,360810779033,1138,611,46.31
222,360810942033,1127,605,46.32
3636,360810997043,1662,892,46.33
377,360470410002,1118,600,46.33
2785,360810884006,1331,714,46.36
5818,360810601002,1046,561,46.37
4502,360610151022,4802,2574,46.40
2696,360610303003,1390,745,46.40
5062,360470143003,1113,596,46.45
1131,360050248003,1029,551,46.45
3669,360811029002,1244,666,46.46
6749,360810713042,1672,894,46.53
5657,360470534002,1314,702,46.58
3309,360810285001,891,476,46.58
5887,360470207001,1998,1067,46.60
5148,360610173003,1957,1045,46.60
6266,360470582002,693,370,46.61
2490,360850170073,1576,841,46.64
1102,360810163001,855,456,46.67
1773,360810581002,1720,917,46.69
2269,360470294001,2298,1225,46.69
1715,360470114002,1458,777,46.71
5978,360610029011,775,413,46.71
244,360811017005,837,446,46.71
5861,360050184001,976,520,46.72
3467,360470362003,1018,542,46.76
589,360470568001,772,411,46.76
5922,360470545003,1469,782,46.77
1132,360050250002,1067,568,46.77
2116,360810731002,789,420,46.77
2063,360610265003,975,519,46.77
1209,360610133005,1261,671,46.79
879,360610064006,1158,616,46.80
328,360811291022,940,500,46.81
74,360810721005,1021,543,46.82
6207,360470230003,1652,878,46.85
6064,360810071001,687,365,46.87
436,360470456001,1284,682,46.88
2845,360050285002,403,214,46.90
5910,360470216003,1750,929,46.91
898,360810001012,1711,908,46.93
6013,360610211006,1702,903,46.94
5407,360610002024,2119,1123,47.00
5598,360470187001,1336,708,47.01
2745,360810251001,1891,1002,47.01
6587,360470606002,991,525,47.02
4834,360610158021,2141,1134,47.03
579,360470556003,1003,531,47.06
5117,360470494004,735,389,47.07
3392,360050345003,858,454,47.09
1724,360470131001,1017,538,47.10
6353,360810091001,1227,649,47.11
2903,360470333001,1210,640,47.11
25,360470162001,1027,543,47.13
5452,360610185002,2378,1257,47.14
3631,360810997011,1107,585,47.15
4501,360610151021,1497,791,47.16
1804,360810645001,812,429,47.17
2527,360050254001,1113,588,47.17
1276,360050293012,951,502,47.21
6572,360470594024,1325,699,47.25
1670,360810551004,1424,750,47.33
1201,360610129021,1558,820,47.37
752,360610022012,1313,691,47.37
361,360470388001,1118,588,47.41
5950,360470558002,1447,761,47.41
2911,360470337011,1430,752,47.41
6425,360810679003,1377,724,47.42
4743,360470130004,1460,767,47.47
5617,360470195002,912,479,47.48
3667,360811017006,714,375,47.48
1575,360470039001,1198,629,47.50
5688,360610015013,1278,671,47.50
6216,360470233003,2040,1071,47.50
2073,360810153001,1128,592,47.52
3559,360610127005,892,468,47.53
75,360810723003,851,446,47.59
3567,360610129022,1586,831,47.60
1223,360810169001,1669,874,47.63
6731,360810695001,1393,729,47.67
2115,360810731001,761,398,47.70
6196,360470224003,1486,777,47.71
3117,360850303012,2020,1056,47.72
4194,360610147003,1843,963,47.75
3580,360610133001,758,396,47.76
62,360810707003,1125,587,47.82
2739,360810245001,2078,1084,47.83
3279,360610121012,1843,961,47.86
1755,360610279005,1535,799,47.95
926,360810057001,1981,1031,47.96
5572,360050160002,900,468,48.00
6751,360810713051,1130,587,48.05
1662,360810531003,774,402,48.06
1924,360470270002,1302,676,48.08
435,360470453002,736,382,48.10
6069,360810075002,1661,862,48.10
1208,360610133002,1592,826,48.12
2383,360610287001,665,345,48.12
3143,360050323003,665,345,48.12
2331,360610074005,1392,722,48.13
4904,360810495001,1430,741,48.18
6298,360610041006,1274,660,48.19
2232,360050252001,1477,765,48.21
5873,360470198001,796,412,48.24
1795,360810627002,1480,766,48.24
300,360811133002,918,475,48.26
6757,360810717011,1521,787,48.26
5825,360810613011,1270,657,48.27
5877,360470200002,1126,582,48.31
479,360470494003,1757,908,48.32
5388,360470511002,1496,773,48.33
2861,360050295003,1053,544,48.34
5943,360470553002,1115,576,48.34
26,360470163002,1907,985,48.35
4066,360470068002,1890,976,48.36
5597,360470186002,1087,561,48.39
5875,360470199003,1525,787,48.39
747,360610018003,1684,869,48.40
6704,360810132001,814,420,48.40
6539,360470252002,1576,813,48.41
5365,360470503002,1115,575,48.43
728,360470762001,1086,560,48.43
3194,360470353021,1185,611,48.44
447,360850003002,1447,746,48.45
5180,360810515001,813,419,48.46
354,360470374023,1015,523,48.47
3960,360811141001,1462,753,48.50
3947,360811097003,676,348,48.52
4101,360470410001,1018,524,48.53
5066,360470145004,972,500,48.56
934,360810071002,982,505,48.57
1040,360610090006,1546,795,48.58
6375,360810105001,1019,524,48.58
3665,360811017003,613,315,48.61
6059,360810065013,816,419,48.65
3093,360850273014,717,368,48.68
4044,360470060001,1191,611,48.70
2124,360810741001,620,318,48.71
5060,360470143001,1256,644,48.73
2590,360470308001,2314,1186,48.75
6764,360810721004,689,353,48.77
95,360470199001,619,317,48.79
1649,360810507001,1949,997,48.85
5803,360810589003,1216,622,48.85
3430,360470011001,1578,807,48.86
5357,360470174002,930,475,48.92
2372,360610279001,903,461,48.95
6063,360810069003,1405,717,48.97
4740,360470129014,741,378,48.99
6124,360850006001,1147,585,49.00
1817,360470030002,922,470,49.02
446,360470480001,1744,889,49.03
6279,360610036022,1665,848,49.07
6010,360610211002,1269,646,49.09
3938,360811085001,890,453,49.10
5687,360610015012,2733,1391,49.10
3571,360610131001,2235,1137,49.13
5879,360470201003,987,502,49.14
1574,360470037001,4565,2320,49.18
87,360810779041,1167,593,49.19
586,360470563022,1690,858,49.23
5463,360810001011,2948,1496,49.25
2135,360810757012,1526,774,49.28
197,360470282003,639,324,49.30
233,360810997012,1012,513,49.31
6208,360470231002,1823,924,49.31
2125,360810741002,1045,529,49.38
477,360470493021,1466,742,49.39
1088,360810134003,1593,806,49.40
445,360470478001,1452,734,49.45
6741,360810707002,564,285,49.47
5093,360470482005,772,390,49.48
5113,360470493022,1127,569,49.51
3098,360850277022,1621,818,49.54
2150,360810779042,2073,1046,49.54
2847,360050286001,664,335,49.55
5369,360470504021,1146,578,49.56
5788,360810579002,617,311,49.59
325,360811267001,2929,1476,49.61
2865,360050297003,1153,581,49.61
3946,360811097002,540,272,49.63
6464,360850074001,2364,1190,49.66
3310,360810285003,1392,700,49.71
1133,360050254002,1050,528,49.71
2098,360810169002,1480,744,49.73
2654,360610086013,1774,891,49.77
3192,360470352001,1367,686,49.82
5882,360470203002,913,458,49.84
5124,360470498002,1728,866,49.88
2614,360470762003,1764,884,49.89
1921,360470268004,964,483,49.90
3648,360811008011,976,489,49.90
5883,360470204001,1034,518,49.90
4622,360811339001,1360,681,49.93
5262,360050118003,1458,730,49.93
2621,360470772002,1588,795,49.94
6640,360610062002,2733,1368,49.95
2087,360810159002,1245,623,49.96
164,360810916021,12,6,50.00
524,360850128043,36,18,50.00
1844,360610094002,18,9,50.00
2292,360470706021,4,2,50.00
3746,360470053022,12,6,50.00
5517,360810561001,20,10,50.00
5763,360810037001,2,1,50.00
6239,360470566002,1118,559,50.00
6261,360470578001,1609,804,50.03
5530,360810577003,1472,735,50.07
6759,360810717014,1407,702,50.11
5473,360810007012,1926,960,50.16
5802,360810589001,1541,768,50.16
6706,360810134002,1463,729,50.17
2403,360810181023,1425,710,50.18
4734,360470127001,1263,629,50.20
6051,360810062022,687,342,50.22
6718,360810143002,2678,1333,50.22
1204,360610131003,774,385,50.26
4105,360470412002,1733,862,50.26
29,360470170003,1271,632,50.28
2242,360470282001,1540,765,50.32
3431,360470013001,2465,1224,50.34
5096,360470484003,1598,793,50.38
471,360470481002,778,386,50.39
5990,360610030022,1138,564,50.44
5577,360050162001,1007,499,50.45
1959,360470648001,1193,590,50.54
472,360470488003,1816,898,50.55
5829,360050164001,1221,603,50.61
5106,360470490001,2523,1246,50.61
2280,360470696022,2390,1180,50.63
279,360470331002,1870,923,50.64
6753,360810713054,914,451,50.66
2090,360810161001,1050,518,50.67
2415,360810185023,1103,544,50.68
3572,360610131002,953,470,50.68
3000,360610111003,1523,751,50.69
2275,360470296002,1668,822,50.72
4436,360470430002,942,464,50.74
2316,360470748002,940,463,50.74
4068,360470068004,1336,658,50.75
6705,360810134001,2324,1143,50.82
2962,360610097004,1155,568,50.82
5798,360810585001,1204,592,50.83
2219,360050246002,1143,562,50.83
5618,360470195004,706,347,50.85
5774,360810047001,1628,800,50.86
1258,360810253011,965,474,50.88
6709,360810136002,851,418,50.88
6386,360810113002,1666,818,50.90
4607,360811291031,1546,759,50.91
