"","GEOID","total_population","white_population","non_white_percent"
"137","360810809003",729,584,19.8902606310014
"138","360810809006",1246,211,83.0658105939005
"139","360810814002",1362,47,96.5491923641703
"140","360810818002",1137,89,92.1723834652595
"141","360810837001",2203,195,91.1484339536995
"142","360810837004",1,0,100
"143","360810838002",1266,188,85.1500789889415
"144","360810840001",1701,104,93.885949441505
"145","360810840004",1053,135,87.1794871794872
"146","360810845002",1886,134,92.8950159066808
"147","360810846012",1556,263,83.0976863753213
"148","360810849012",400,5,98.75
"149","360810853001",1756,56,96.8109339407745
"150","360810863001",1621,101,93.7692782233189
"151","360810863004",2573,180,93.0042751651768
"152","360810865001",2472,190,92.3139158576052
"153","360810869001",1957,59,96.9851814001022
"154","360810871001",2536,211,91.679810725552
"155","360810884001",1198,942,21.3689482470785
"156","360810884004",904,725,19.8008849557522
"157","360810884007",546,404,26.007326007326
"158","360810889022",1922,213,88.9177939646202
"159","360810889031",1528,398,73.9528795811518
"160","360810892011",753,632,16.0690571049137
"161","360810892014",1208,1024,15.2317880794702
"162","360810892017",731,621,15.0478796169631
"163","360810907000",0,0,NA
"164","360810916021",12,6,50
"165","360810916032",661,623,5.74886535552194
"166","360810922003",513,474,7.60233918128655
"167","360810925002",1608,315,80.410447761194
"168","360810928001",990,901,8.98989898989899
"169","360810929000",0,0,NA
"170","360810929003",1139,254,77.6997366110623
"171","360810934010",0,0,NA
"172","360470249001",1117,364,67.4127126230976
"173","360470249004",507,150,70.414201183432
"174","360470251001",1249,312,75.0200160128103
"175","360470251003",1447,284,80.3731859018659
"176","360470252003",1282,340,73.4789391575663
"177","360470253002",1299,470,63.8183217859892
"178","360470254002",1185,268,77.3839662447257
"179","360470261002",1179,353,70.0593723494487
"180","360470261005",1262,437,65.3724247226624
"181","360470263001",2088,494,76.3409961685824
"182","360470264002",1126,401,64.3872113676732
"183","360470265001",1286,329,74.4167962674961
"184","360470265004",769,172,77.6332899869961
"185","360470266003",1104,301,72.7355072463768
"186","360470267003",1087,297,72.6770929162833
"187","360470268002",970,350,63.9175257731959
"188","360470269001",926,213,76.9978401727862
"189","360470270001",1417,663,53.2110091743119
"190","360470271001",2220,389,82.4774774774775
"191","360470272002",1377,435,68.4095860566449
"192","360470273002",674,191,71.6617210682493
"193","360470274002",2009,769,61.72224987556
"194","360470275003",981,249,74.6177370030581
"195","360470281001",1703,195,88.5496183206107
"196","360470282000",0,0,NA
"197","360470282003",639,324,49.2957746478873
"198","360470283002",1306,173,86.7534456355283
"199","360470284002",1468,648,55.858310626703
"200","360470285021",2658,238,91.04589917231
